Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"1302 Marketplace Inc",-71.494255,41.808693,"1302 Atwood Ave","","Johnston","RI","02919","4902","PROVIDENCE" 
"La Perla Fruit-Meat Market",-71.435112,41.8162,"1543 Westminster St","","Providence","RI","02909","1806","PROVIDENCE" 
"Gulf Express #1",-71.458382,42.013809,"3 Pine Swamp Rd","","Cumberland","RI","02864","1001","PROVIDENCE" 
"Gulf Express",-71.390312,41.858765,"711 East Ave","","Pawtucket","RI","02860","6168","PROVIDENCE" 
"LaSalle Bakery Inc",-71.439468,41.849503,"685 Admiral St","","Providence","RI","02908","1402","PROVIDENCE" 
"7-Eleven Store 32509B 32509B",-71.806229,41.356701,"11 Post Rd","","Westerly","RI","02891","2604","WASHINGTON" 
"JD Stores",-71.355408,41.774704,"215 Willett Ave","","Riverside","RI","02915","4201","PROVIDENCE" 
"Sonnys  Convenience",-71.350586,41.770508,"548 Willett Ave","","Riverside","RI","02915","2656","PROVIDENCE" 
"Walgreens 03000",-71.299751,41.517101,"12 E Main Rd","","Middletown","RI","02842","4912","NEWPORT" 
"Krakow Deli Bakery Smokehouse",-71.501343,42.012539,"855 Social St","","Woonsocket","RI","02895","1383","PROVIDENCE" 
"Tedescos Sausage Shop",-71.474121,41.833199,"56 Greenville Ave","","Johnston","RI","02919","4214","PROVIDENCE" 
"Sams Food Store",-71.36496,41.892563,"151 Benefit St","","Pawtucket","RI","02861","1154","PROVIDENCE" 
"RI DEM/Division of Agriculture FM",-71.422501,41.660427,"354 Ives Rd","","East Greenwich","RI","02818","4608","KENT" 
"Rite Aid 6595",-71.447525,41.799332,"1011 Cranston St","","Cranston","RI","02920","7533","PROVIDENCE" 
"Pawtuxet Village Farmers Market",-71.394646,41.767693,"Rhodes Place","(parking lot)","Cranston","RI","02905","","PROVIDENCE" 
"Haines Park Farmers Market",-71.347343,41.755543,"Metropolitan Park Dr","Route 103","Riverside","RI","02915","2147","PROVIDENCE" 
"Moe Convenient Store LLC",-71.53157,41.680069,"71 Tiogue Ave","","West Warwick","RI","02893","6051","KENT" 
"Blanchards Farm & Deli",-71.579956,41.853069,"255 W Greenville Rd","","North Scituate","RI","02857","1113","PROVIDENCE" 
"Oasis Market",-71.419067,41.816383,"220 Broad St","","Providence","RI","02903","4029","PROVIDENCE" 
"Coventry Shell",-71.5476,41.696079,"642 Washington St","","Coventry","RI","02816","5480","KENT" 
"Fruit Hill Farmers Market",-71.437332,41.83931,"Fruit Hill Ave (Parking Lot)","at Rhode Island College","Providence","RI","02908","2802","PROVIDENCE" 
"Cumberland Farms 1108",-71.372002,41.499699,"41 North Rd","","Jamestown","RI","02835","1433","NEWPORT" 
"Cumberland Farms 1218",-71.252502,41.580547,"1812 E Main Rd","","Portsmouth","RI","02871","1236","NEWPORT" 
"Cumberland Farms 1254",-71.677666,41.509014,"PO Box 354","1175 Main St","Wyoming","RI","02898","","WASHINGTON" 
"Cumberland Farms 1262",-71.729935,41.351704,"3169 Old Post Rd","Box 1139","Charlestown","RI","02813","","WASHINGTON" 
"Cumberland Farms 1264",-71.284248,41.49234,"94 Aquidneck Ave","","Middletown","RI","02842","5610","NEWPORT" 
"CVS Pharmacy 8320",-71.699287,41.514507,"1187 Main St","","Wyoming","RI","02898","","WASHINGTON" 
"Walgreens 02246",-71.49897,41.662777,"1000 Division Rd","Unit 1","East Greenwich","RI","02818","2008","KENT" 
"Albion Food Mart",-71.090736,41.901707,"42 Main St","","Albion","RI","02802","","PROVIDENCE" 
"Oakland Mart",-71.398186,41.687023,"801 Oakland Beach Ave","","Warwick","RI","02889","9615","KENT" 
"Dollar Tree 3899",-71.480858,41.428387,"91 Point Judith Rd","Ste 6","Narragansett","RI","02882","3445","WASHINGTON" 
"EL VECINO GROCERY STORE",-71.412926,41.796741,"1035 Broad St","","Providence","RI","02905","1739","PROVIDENCE" 
"Chopmist Xtra Mart 1848",-71.670364,41.825539,"1045 Danielson Pike","","North Scituate","RI","02857","1572","PROVIDENCE" 
"CVS Pharmacy 409",-71.437416,41.487247,"1123 Boston Neck Rd","","Narragansett","RI","02882","1734","WASHINGTON" 
"West Kingston Xtra Mart 2970",-71.553474,41.483425,"3411 Kingstown Rd","","West Kingston","RI","02892","1404","WASHINGTON" 
"Plainfield Market Place",-71.450478,41.813648,"370 Plainfield St","","Providence","RI","02909","3708","PROVIDENCE" 
"Miami Mart Inc",-71.448593,41.825134,"935 Atwells Ave","","Providence","RI","02909","3121","PROVIDENCE" 
"Fresh to You, LLC-Farmer/Produce Route",-71.619637,41.900864,"69 Absalona Hill Rd","","Chepachet","RI","02814","1424","PROVIDENCE" 
"Sams Food Mart",-71.301247,41.515213,"356 W Main Rd","","Middletown","RI","02842","6328","NEWPORT" 
"7-Eleven 33176C 33176C",-71.398354,41.700954,"2078 W Shore Rd","","Warwick","RI","02889","8417","KENT" 
"West Warwick Farmers Market",-71.527473,41.701477,"20 Washington St","","West Warwick","RI","02893","4919","KENT" 
"I J Warwick LLC",-71.404579,41.72298,"1959 Warwick Ave","","Warwick","RI","02889","2420","KENT" 
"Phils Marketplace",-71.820427,41.372616,"114 Granite St","","Westerly","RI","02891","","WASHINGTON" 
"Stop & Shop Supercenter 2701",-71.355988,41.821968,"1925 Pawtucket Ave","Ste 1","East Providence","RI","02914","1642","PROVIDENCE" 
"Daves Marketplace 8",-71.521622,41.870209,"371 Putnam Pike","Ste 590","Smithfield","RI","02917","2451","PROVIDENCE" 
"B K  House of Cigars",-71.374771,41.887768,"530 Broadway","Ste 4","Pawtucket","RI","02860","1269","PROVIDENCE" 
"College Convenience Mart",-71.438919,41.849159,"664 Admiral St","","Providence","RI","02908","1406","PROVIDENCE" 
"Walgreens 10476",-71.500259,41.828812,"1583 Atwood Ave","","Johnston","RI","02919","3232","PROVIDENCE" 
